,Item_id,User_id,Rating,Timestamp,Model_attr,Category,Brand,Year,User_attr,Split,Month
131,7,131,4.0,2000-06-15,Female,Home Audio,Philips,2000,Male,0,6
233,19,231,5.0,2000-12-31,Female,Camera & Photo,Canon,2000,Male,0,12
235,14,233,5.0,2001-01-02,Female&Male,Camera & Photo,Kodak,2001,Female,0,1
259,14,257,5.0,2001-02-04,Female&Male,Camera & Photo,Kodak,2001,Female,0,2
271,14,269,5.0,2001-03-02,Female&Male,Camera & Photo,Kodak,2001,Male,0,3
279,15,269,5.0,2001-03-10,Female&Male,Camera & Photo,Kodak,2001,Male,0,3
312,13,309,5.0,2001-04-14,Female,Camera & Photo,Nikon,2001,Male,0,4
345,13,340,2.0,2001-05-13,Female,Camera & Photo,Nikon,2001,Male,0,5
375,1,369,4.0,2001-06-11,Female,Computers & Accessories,HP,2001,Female,0,6
391,14,385,4.0,2001-06-29,Female&Male,Camera & Photo,Kodak,2001,Male,0,6
410,13,404,4.0,2001-07-19,Female,Camera & Photo,Nikon,2001,Male,0,7
438,14,432,5.0,2001-08-10,Female&Male,Camera & Photo,Kodak,2001,Female,0,8
525,46,516,2.0,2001-11-18,Female&Male,Camera & Photo,Kodak,2001,Male,0,11
554,39,545,5.0,2001-12-03,Female,Camera & Photo,Sony,2001,Male,0,12
560,13,551,4.0,2001-12-06,Female,Camera & Photo,Nikon,2001,Male,0,12
614,41,603,5.0,2001-12-27,Female,Camera & Photo,Sony,2001,Male,0,12
638,46,627,4.0,2002-01-01,Female&Male,Camera & Photo,Kodak,2002,Female,0,1
682,30,671,5.0,2002-01-24,Female,Camera & Photo,Sony,2002,Male,0,1
719,49,707,5.0,2002-02-14,Female,Camera & Photo,Sony,2002,Male,0,2
774,7,760,5.0,2002-04-12,Female,Home Audio,Philips,2002,Male,0,4
781,17,767,5.0,2002-04-18,Female,Camera & Photo,Fujifilm,2002,Male,0,4
797,56,782,4.0,2002-05-05,Male,Camera & Photo,Sony,2002,Female,0,5
845,60,829,4.0,2002-06-16,Female,Camera & Photo,Sony,2002,Male,0,6
856,7,840,5.0,2002-06-26,Female,Home Audio,Philips,2002,Female,0,6
857,40,841,5.0,2002-06-28,Female,Camera & Photo,Olympus,2002,Female,0,6
860,14,844,5.0,2002-06-30,Female&Male,Camera & Photo,Kodak,2002,Female,0,6
